wind_speed,wind_direction,rpm,temperature,humidity,flap_angle,power
10.11,111.22,1036.26,26.02,71.88,13.85,32.223
11.222,63.23,1143.38,18.3,69.67,32.4,132.501
12.135,92.51,1189.59,35.62,66.5,15.16,30.059
4.267,346.64,665.75,18.52,93.16,34.4,0.0
13.64,289.65,1308.41,24.14,83.49,18.64,55.427
10.401,242.04,1068.42,29.61,85.23,12.01,20.541
3.275,318.32,574.34,29.04,90.34,29.72,0.677
13.003,108.79,1254.32,25.21,47.69,19.78,78.586
4.069,319.41,606.95,18.39,64.95,33.38,0.0
7.61,267.22,891.06,18.86,62.82,17.24,39.91
13.467,11.78,1312.55,24.26,64.39,7.98,1.77
10.542,196.01,1053.88,39.45,59.73,8.66,8.361
12.328,163.7,1184.07,31.57,75.29,28.6,214.384
5.679,45.33,737.81,29.11,43.77,11.48,14.08
12.567,118.28,1253.96,18.69,89.53,9.34,4.814
4.43,90.24,655.5,19.36,76.36,28.7,2.408
5.617,116.56,730.38,19.36,42.88,27.37,9.058
8.239,280.09,849.96,27.83,46.0,6.3,5.797
11.615,312.11,1148.49,28.04,65.19,19.37,84.171
7.418,247.0,863.6,27.26,90.03,23.25,43.975
3.723,99.01,566.35,30.83,70.16,20.92,5.367
7.991,217.95,915.21,17.48,78.6,28.07,43.298
10.929,77.41,1078.62,26.29,52.57,17.48,61.386
4.046,153.64,657.63,31.63,60.59,7.01,5.196
12.149,33.56,1188.23,17.41,80.63,22.59,129.447
9.177,118.67,952.94,18.06,59.45,31.04,58.139
10.932,348.62,1078.09,30.01,59.34,24.7,141.554
5.467,38.96,724.32,36.13,60.22,29.22,5.649
12.297,350.84,1182.58,35.46,73.75,32.87,201.988
12.124,96.28,1166.19,19.51,78.65,5.18,1.64
12.568,203.88,1200.48,25.02,47.8,27.38,215.535
5.366,151.14,707.23,23.52,60.35,22.03,14.683
3.935,18.94,608.39,18.94,73.98,24.86,2.859
8.342,159.14,937.29,21.83,81.52,13.5,32.357
10.463,175.19,1034.76,31.68,42.5,5.23,3.13
6.316,76.04,777.99,18.43,54.05,27.41,16.029
4.933,136.87,708.07,32.59,67.51,7.16,5.387
12.479,15.23,1219.8,15.47,90.66,22.2,122.84
10.804,150.37,1064.36,17.88,41.15,23.54,131.777
12.152,331.12,1177.75,17.2,86.45,20.72,105.362
7.353,111.7,864.74,23.49,58.32,8.42,11.796
8.609,326.13,954.72,23.73,80.01,12.09,24.321
4.611,71.02,654.81,30.06,81.81,28.19,3.059
8.435,271.6,952.24,34.0,64.69,24.06,61.111
9.87,311.13,1045.71,30.68,48.3,14.08,35.023
6.021,20.22,751.29,27.68,57.07,29.95,9.268
3.844,311.13,583.56,36.38,73.83,21.63,4.277
11.71,322.52,1133.54,26.24,84.54,19.27,82.465
4.659,22.27,644.92,17.59,89.45,20.14,10.939
4.898,89.19,668.52,25.94,64.17,16.19,12.538
6.112,147.16,774.41,23.46,72.88,6.98,7.331
4.04,244.22,594.55,22.1,79.81,31.2,0.0
6.667,209.79,841.27,18.54,59.24,16.76,30.44
9.545,337.68,1010.94,22.74,60.72,25.1,98.96
12.119,265.96,1158.12,32.14,68.95,15.85,36.568
6.989,64.89,807.37,20.35,92.12,9.13,12.555
3.849,303.99,638.15,17.53,82.4,6.13,2.409
6.704,275.87,830.61,18.28,60.72,28.13,19.333
11.899,59.59,1150.95,25.94,62.6,18.33,67.738
6.134,269.47,750.53,26.22,69.37,19.07,25.572
12.186,132.42,1158.91,38.68,94.14,16.46,43.53
8.802,347.86,960.77,35.42,84.07,24.24,79.349
12.615,199.63,1220.0,17.56,86.52,27.89,214.286
6.001,325.91,774.77,18.68,64.06,18.53,24.729
6.845,9.6,822.69,16.33,67.61,16.25,34.663
3.31,335.1,578.58,35.98,75.75,13.61,3.901
12.127,250.59,1172.23,18.47,78.8,7.38,2.95
5.815,300.59,733.48,28.72,80.0,13.64,18.182
6.313,17.19,767.58,25.5,83.66,32.15,7.69
9.564,5.92,1016.77,27.88,53.31,23.44,102.465
5.646,149.96,743.18,31.61,44.71,20.78,19.664
8.581,355.8,898.58,28.85,61.47,34.43,26.883
5.79,5.85,739.97,34.71,58.96,28.15,9.579
11.087,119.71,1109.95,16.11,70.03,28.37,149.097
8.111,250.34,941.44,30.79,84.63,18.73,50.663
6.228,15.77,800.99,19.99,42.3,34.67,3.575
8.973,91.19,933.06,33.83,50.51,30.97,52.299
6.651,44.81,800.05,24.2,88.92,16.6,29.52
13.711,178.63,1237.74,27.44,90.84,26.81,218.119
3.868,216.88,608.62,35.56,70.0,24.83,3.112
6.371,216.94,778.88,25.65,77.94,31.1,9.944
6.878,359.33,827.06,21.86,93.9,24.13,33.791
6.996,288.39,847.09,31.99,92.4,28.44,22.496
3.383,24.2,556.05,34.46,60.15,23.15,2.665
10.47,341.58,1034.49,24.3,81.97,16.94,58.696
10.145,89.86,1015.14,17.84,80.46,21.85,92.683
5.88,93.7,737.46,26.16,94.8,19.74,22.488
4.349,307.02,635.65,26.3,89.43,25.46,4.382
12.301,115.05,1135.62,23.69,43.57,30.54,196.619
10.83,333.84,1073.74,30.94,83.65,11.03,15.358
4.528,284.53,627.23,15.66,70.47,21.55,8.37
9.731,31.04,1005.8,22.73,94.98,28.07,98.492
12.057,26.55,1133.96,39.31,75.33,15.34,35.08
12.658,280.89,1236.73,30.99,50.01,32.32,211.461
3.61,44.7,578.12,18.83,49.06,15.38,6.017
13.35,322.17,1236.89,36.15,53.78,8.76,2.458
6.331,192.05,794.02,27.56,49.27,24.76,23.528
10.927,217.85,1095.76,36.06,71.0,6.36,3.266
10.056,207.64,1002.91,31.28,82.18,19.94,85.668
9.899,104.28,1035.92,38.92,66.56,13.92,30.712
3.803,21.57,618.31,25.99,66.63,14.38,7.164
10.902,264.31,1107.72,36.52,93.65,21.85,102.93
6.51,167.93,809.69,21.69,53.64,16.52,30.154
9.769,89.38,998.95,36.63,48.78,14.38,34.816
11.394,179.38,1122.87,27.87,67.43,33.36,145.271
8.56,348.01,959.83,20.38,59.41,31.47,42.736
10.197,169.41,996.45,28.42,86.59,26.83,121.352
11.402,131.74,1136.18,25.01,71.37,7.21,4.483
8.547,275.19,925.86,21.99,94.4,34.25,24.616
7.333,286.16,849.16,23.48,91.64,20.27,42.314
8.501,16.31,900.81,18.43,58.32,23.19,71.161
8.671,118.07,980.52,30.33,48.94,13.98,32.485
6.7,298.18,791.46,28.31,78.98,16.05,30.519
10.412,352.76,1052.11,29.59,83.82,5.8,2.683
8.22,348.15,873.69,34.57,82.69,22.51,61.863
4.876,226.45,704.17,30.49,86.26,5.95,5.511
13.43,39.56,1285.48,15.47,57.25,17.31,44.43
11.525,331.39,1146.28,36.82,80.47,11.22,13.595
6.576,238.4,822.73,28.14,57.26,15.27,27.745
6.897,277.92,807.04,33.02,75.38,10.77,15.478
5.712,200.91,732.31,20.62,93.51,11.22,14.654
10.755,114.13,1086.96,23.72,91.35,8.66,7.111
10.443,136.69,1103.47,39.5,85.01,13.71,28.964
6.164,257.09,767.99,23.66,64.33,11.06,15.649
8.924,335.89,932.02,32.4,47.55,12.27,25.186
10.368,191.17,1021.05,30.95,42.89,8.02,7.48
11.478,1.87,1081.79,28.76,91.1,31.35,163.405
8.252,71.8,877.91,39.1,57.66,7.68,7.777
9.315,192.65,996.71,33.08,91.52,31.47,63.575
4.934,331.07,626.79,39.93,61.83,33.86,1.181
13.186,315.63,1302.43,15.23,71.24,13.54,16.324
13.88,195.59,1310.51,27.35,91.62,10.78,4.683
4.239,58.5,654.2,26.47,54.15,28.72,2.819
9.246,272.62,1016.07,19.39,87.09,20.46,68.798
3.954,240.93,610.46,19.62,47.73,12.82,6.955
5.591,271.35,729.53,38.85,56.61,24.61,12.613
10.62,22.36,1047.71,17.96,56.87,31.85,115.974
10.739,111.95,1070.62,17.94,90.39,11.57,17.678
4.469,55.15,626.66,33.69,73.32,19.12,9.409
8.913,239.07,957.58,20.46,53.61,7.46,7.036
7.914,253.36,917.32,16.95,71.03,20.16,51.607
9.3,53.95,995.01,23.2,68.62,22.49,88.773
4.0,183.74,594.5,35.22,64.94,6.73,3.988
8.086,290.49,916.64,33.08,61.78,22.35,55.798
3.498,124.03,596.54,16.59,94.68,33.01,0.179
3.349,147.19,613.43,34.22,82.12,17.61,3.672
13.921,137.69,1269.76,36.74,89.87,24.85,173.039
8.932,235.27,927.56,23.69,49.82,26.84,74.737
5.45,1.25,706.08,15.57,56.41,20.96,16.746
12.057,89.1,1206.98,23.65,55.16,8.39,3.857
11.904,150.93,1176.39,34.15,88.61,8.03,4.25
3.369,215.2,577.61,32.58,42.68,12.03,3.748
5.39,310.94,705.29,16.41,67.71,26.95,9.542
6.508,215.25,788.1,31.81,57.64,24.81,25.885
5.431,108.18,759.41,16.52,92.17,23.78,11.607
7.699,178.42,852.73,39.31,91.79,14.56,31.932
7.58,53.72,817.44,24.41,81.49,14.02,29.593
10.783,290.08,1114.53,37.87,70.93,9.02,7.792
5.671,73.2,741.97,31.17,90.72,26.74,10.58
5.095,96.65,707.8,31.84,73.16,27.85,5.235
10.967,201.19,1064.55,26.98,87.82,5.46,3.516
13.309,346.35,1236.52,17.93,94.98,23.13,141.455
5.25,329.45,684.38,28.8,82.65,15.78,16.744
5.877,184.61,777.6,27.43,45.42,30.19,7.67
13.058,133.45,1240.44,25.35,70.94,12.82,14.387
13.282,208.49,1241.44,25.44,48.38,30.0,272.995
8.492,235.66,955.81,32.12,54.15,24.25,64.019
8.397,60.56,915.6,34.87,49.31,32.51,30.633
8.964,231.05,993.91,16.47,41.86,25.05,75.526
11.408,148.46,1124.82,36.06,52.73,20.17,94.506
7.105,222.42,804.39,31.67,73.91,5.2,5.391
9.068,4.27,971.23,28.24,55.11,29.39,71.425
10.414,290.22,1069.85,37.74,45.89,10.76,14.599
8.791,293.48,929.97,21.68,61.83,21.95,74.275
13.893,81.31,1266.6,32.1,86.63,27.79,217.253
4.029,136.54,639.24,28.82,43.09,20.0,6.242
7.773,282.38,903.87,29.15,87.19,6.28,6.765
5.326,312.52,721.55,37.19,66.15,32.77,2.528
12.892,202.86,1201.54,15.82,91.08,22.61,137.036
11.275,256.58,1126.38,24.96,44.23,30.04,156.451
7.281,322.75,892.72,23.29,81.56,26.72,34.625
8.509,350.76,940.66,16.34,64.04,28.07,58.469
13.503,142.81,1256.8,34.34,41.63,19.72,79.568
6.914,338.81,814.51,25.8,77.38,23.56,35.966
11.779,256.72,1142.49,17.05,48.48,27.19,165.873
6.483,38.36,778.25,15.13,56.95,8.98,12.238
5.061,161.58,717.22,28.87,62.44,7.79,7.418
9.578,116.79,993.33,24.63,56.05,32.03,68.056
12.957,352.14,1221.09,29.3,49.33,14.03,21.467
8.424,22.78,912.9,25.87,63.16,12.55,27.74
5.712,225.01,755.13,29.85,50.76,33.46,3.383
6.654,223.27,779.17,35.1,58.12,30.79,13.258
13.716,49.0,1289.32,23.02,92.1,33.94,294.404
13.656,104.92,1262.05,32.37,67.01,16.28,29.861
11.981,141.46,1138.46,17.85,71.01,25.45,166.886
9.051,343.08,946.26,26.54,78.96,25.79,86.462
12.009,286.44,1154.13,25.23,67.46,24.76,156.15
10.868,284.07,1063.91,16.85,94.49,20.2,86.251
13.124,249.02,1208.71,28.59,83.49,21.11,100.518
10.02,30.59,1009.24,34.22,76.17,6.33,5.075
13.82,243.89,1315.65,24.99,81.4,5.32,0.412
5.846,183.84,723.35,27.97,71.93,16.73,22.616
11.496,211.89,1143.32,27.51,58.97,17.48,62.419
13.579,41.78,1262.92,38.52,47.79,11.21,7.049
8.312,171.42,906.36,25.95,78.32,29.31,49.761
4.266,305.7,676.9,31.2,77.24,12.32,8.995
4.919,57.65,687.39,29.0,92.72,10.53,10.027
10.045,155.57,1043.96,15.73,73.78,16.67,57.259
10.752,74.08,1091.84,33.81,84.48,31.16,118.984
5.057,117.35,713.75,26.44,54.43,24.17,9.092
9.567,220.07,1020.11,29.68,59.14,29.41,84.729
10.766,107.08,1090.42,30.36,44.66,14.16,32.127
5.013,249.64,706.85,27.77,63.0,10.57,10.234
9.991,249.64,1002.07,31.13,94.99,9.21,10.019
6.46,162.36,802.83,16.34,59.75,29.46,13.991
13.602,181.96,1233.66,27.37,77.66,19.66,75.044
3.909,11.11,611.01,34.03,56.06,10.05,6.268
8.031,267.31,905.4,34.15,70.23,28.25,41.513
12.056,132.07,1163.73,35.57,42.29,34.69,155.91
4.127,298.83,657.93,33.78,56.37,15.46,7.667
11.984,158.07,1168.65,39.85,82.66,22.64,135.611
6.857,255.87,827.18,30.82,49.13,11.21,17.751
3.653,126.29,580.98,22.03,69.63,13.68,6.188
5.941,308.89,806.97,39.64,77.36,28.57,10.433
13.106,357.3,1253.87,36.68,46.98,26.34,204.192
12.113,274.13,1156.22,31.91,66.92,17.43,52.152
7.972,228.11,872.0,37.0,45.12,33.09,21.451
7.06,342.09,836.2,23.18,40.14,26.93,29.277
8.043,239.09,879.8,23.96,43.48,17.89,49.247
5.33,96.67,683.95,35.71,58.58,19.56,14.973
6.781,245.72,816.98,16.21,45.48,8.73,10.885
12.434,158.86,1206.79,15.02,92.69,8.96,5.506
10.15,57.23,1029.49,38.32,55.07,16.16,48.277
12.942,59.59,1224.34,24.91,56.8,24.66,168.882
10.741,0.39,1085.99,26.92,47.3,5.28,3.312
10.652,294.16,1080.77,39.7,63.23,16.49,50.654
11.038,36.87,1128.67,22.83,88.45,27.59,157.293
4.465,357.46,689.77,18.57,69.18,18.2,9.849
10.947,226.11,1075.14,18.78,62.64,7.6,4.208
4.105,270.88,650.3,29.74,61.12,9.19,5.212
6.047,30.33,727.29,28.83,73.0,25.71,16.592
12.327,237.03,1146.8,22.54,68.48,13.87,22.296
3.6,323.25,617.16,38.87,67.22,22.82,3.301
8.811,351.97,982.69,39.67,91.37,22.05,75.905
7.02,245.86,827.91,34.07,92.49,7.03,7.924
5.884,14.34,714.96,16.51,83.41,20.03,22.666
7.57,252.65,849.71,17.06,69.51,14.3,29.74
8.624,73.15,909.03,35.2,69.5,30.04,48.821
10.492,23.8,1068.35,32.47,80.15,7.59,5.884
7.779,163.21,876.85,30.22,57.01,8.58,11.525
10.787,252.54,1040.26,19.1,92.42,26.62,129.555
4.837,45.7,711.36,34.53,54.78,5.88,4.154
11.878,97.91,1148.84,16.6,79.18,18.66,68.329
6.961,179.86,823.0,29.17,60.22,22.22,39.402
10.951,82.23,1106.84,27.72,42.42,19.15,76.442
7.213,54.03,788.12,38.28,87.16,27.22,27.766
7.613,115.85,866.35,25.41,79.62,16.18,39.022
8.522,324.7,991.16,19.48,84.24,7.07,7.14
8.116,101.63,898.9,36.12,58.0,11.02,18.61
9.202,109.41,951.28,30.57,65.52,28.18,75.066
5.15,324.16,725.84,34.01,53.48,11.99,12.259
6.811,302.25,849.71,36.93,92.3,30.47,14.062
10.999,37.42,1089.18,28.25,53.1,34.91,101.517
10.828,33.49,1047.78,38.03,89.35,16.17,47.443
13.72,30.56,1287.16,17.39,47.34,22.03,114.948
7.785,347.12,861.53,20.92,54.35,26.02,50.077
11.089,114.5,1116.78,21.8,44.11,22.54,123.027
4.71,59.17,607.25,26.65,62.36,11.23,8.422
6.391,95.4,766.32,18.0,48.67,25.91,18.83
3.444,300.93,584.43,23.19,45.02,20.4,3.833
10.449,93.66,1037.91,39.77,41.71,27.44,118.438
5.748,166.34,787.85,35.1,47.69,34.48,2.483
4.438,296.52,631.48,24.31,74.67,12.76,8.471
11.94,7.85,1149.63,16.61,89.64,32.15,185.866
12.123,119.36,1190.45,16.07,65.35,29.65,200.859
7.345,10.61,853.0,32.08,49.5,13.4,28.234
12.718,12.47,1207.6,30.48,53.52,21.52,118.69
3.671,100.72,622.48,18.43,50.97,23.92,2.162
11.824,286.14,1134.17,39.74,83.01,19.54,80.424
13.039,180.86,1229.31,24.71,49.89,31.87,268.552
11.564,21.09,1146.8,39.79,69.12,34.22,126.939
4.101,236.47,636.26,21.66,84.9,34.89,0.242
5.414,304.74,743.8,34.93,59.51,10.28,10.151
9.518,290.24,1035.42,32.44,90.27,33.43,51.497
9.2,202.72,997.0,19.71,94.34,14.27,36.304
8.395,32.49,919.93,20.82,52.03,32.54,32.903
5.216,46.98,717.04,32.92,90.53,5.66,4.677
9.453,330.2,1033.51,34.36,86.56,16.21,47.035
13.361,142.41,1268.14,17.53,56.6,33.46,271.384
11.71,345.84,1184.01,31.23,49.58,32.87,161.622
11.657,80.37,1129.33,29.72,49.64,8.82,6.5
11.017,341.56,1163.91,38.72,61.54,5.97,2.579
9.626,331.57,950.76,39.19,52.15,9.22,10.525
11.199,85.68,1119.61,39.56,49.23,26.27,140.994
10.03,319.2,1032.08,26.17,54.59,12.7,26.834
4.188,0.46,685.78,24.65,80.29,19.79,6.989
7.166,196.57,861.1,17.54,66.37,25.61,34.538
4.789,26.54,649.92,36.14,56.22,7.23,7.08
4.871,135.16,690.1,33.3,70.09,22.82,9.529
9.75,173.79,1039.73,15.77,91.83,9.71,13.926
4.114,74.0,622.67,19.75,78.35,12.96,6.452
6.097,85.52,772.3,16.24,71.45,15.82,21.861
7.704,106.04,875.62,31.55,73.01,10.12,15.923
6.21,29.5,749.11,36.09,56.96,24.83,21.133
4.003,195.89,603.65,19.62,88.7,12.9,7.5
8.116,81.45,902.38,21.71,43.39,7.57,8.087
6.782,194.92,765.92,39.27,72.43,29.55,16.237
7.605,192.79,888.06,36.67,66.12,7.37,8.734
12.931,257.15,1241.0,27.55,89.53,23.61,139.591
4.323,272.59,688.73,19.32,94.14,8.79,5.272
7.657,355.78,837.65,25.88,94.85,12.74,25.468
13.019,329.1,1217.53,16.68,61.35,13.29,16.524
8.04,314.45,870.89,34.66,74.27,17.43,46.771
4.63,211.66,693.5,33.96,91.68,8.03,5.957
6.147,192.83,746.61,23.6,62.6,23.27,24.063
3.412,99.15,579.59,18.6,73.48,31.69,0.197
6.646,85.53,805.99,33.64,90.65,29.52,14.331
6.334,100.92,821.79,27.29,78.29,9.03,11.565
13.716,159.52,1251.52,35.65,54.82,10.64,5.438
5.325,296.63,743.26,33.52,81.77,20.46,14.562
4.749,112.0,703.47,27.67,47.46,5.87,3.707
5.12,299.85,644.35,35.92,53.72,26.14,7.496
6.014,296.46,763.37,27.63,74.95,16.17,23.145
9.534,63.93,989.58,36.76,72.28,31.83,65.886
11.239,247.99,1131.18,22.13,61.26,33.95,122.532
12.428,233.06,1190.88,31.94,54.8,28.41,210.108
11.443,3.2,1125.52,37.79,75.61,12.57,20.293
11.856,109.97,1134.64,39.18,75.35,15.46,35.907
5.772,168.01,733.22,31.93,85.34,20.35,21.825
10.286,303.58,1033.14,24.36,75.6,8.24,7.401
3.702,355.81,598.99,31.01,87.38,31.77,1.304
6.287,53.97,792.86,34.14,89.48,23.0,23.632
10.266,245.07,1067.45,33.03,76.05,17.56,61.019
7.271,12.71,859.27,32.7,71.46,11.67,22.123
8.881,282.56,905.65,37.66,76.95,30.22,51.373
12.641,65.21,1207.15,17.44,47.04,27.89,215.929
5.014,244.7,665.57,23.39,44.91,14.21,13.766
11.669,119.27,1160.24,21.51,56.17,30.99,169.141
9.419,339.95,940.25,16.78,88.92,16.45,50.13
6.282,19.46,785.05,36.36,47.56,22.08,27.284
12.973,164.73,1237.38,22.91,79.36,23.93,160.149
4.945,228.42,687.33,15.12,55.04,27.93,4.631
8.385,274.88,903.22,17.2,73.8,33.96,22.955
7.216,13.58,862.68,19.99,60.52,30.0,22.352
5.096,243.63,688.57,30.67,53.69,8.87,7.858
7.219,211.92,834.71,19.18,85.31,26.83,33.194
9.56,121.62,970.48,37.2,94.75,15.78,45.983
5.073,341.31,700.39,37.96,62.19,8.94,9.351
11.075,212.29,1099.05,19.22,60.16,31.3,142.839
5.814,192.5,726.21,16.21,94.71,5.59,5.012
10.587,150.04,1055.71,24.51,70.1,25.86,138.313
9.933,108.4,1021.2,31.54,76.44,9.11,10.997
12.137,37.77,1184.27,32.97,46.48,10.96,10.628
5.197,94.68,697.38,28.08,51.09,6.18,4.952
8.46,74.77,962.58,38.33,58.18,32.21,32.112
12.188,240.85,1138.77,18.73,44.95,8.04,3.541
5.815,83.22,734.23,39.72,56.28,10.24,11.722
3.434,104.6,582.7,35.04,57.2,27.75,0.718
